K,T,S,sigma,n,m,Error
125,1.0,110.0,0.14,8,64,0.015595398655534347
125,1.0,110.0,0.19,5,11,9.942608989904146e-05
125,1.0,110.0,0.23,6,12,0.00409220059217788
125,1.0,110.0,0.27,6,17,0.0011019509604036056
125,1.0,110.0,0.31,4,9,0.0014434135008835232
125,1.0,110.0,0.36,8,64,0.08955158210746557
125,1.0,110.0,0.4,8,64,0.07254869759094502
125,1.0,110.88,0.14,5,6,0.016034709110498733
125,1.0,110.88,0.19,6,64,3.9061394955261364e-05
125,1.0,110.88,0.23,6,14,0.0015201551736966873
125,1.0,110.88,0.27,6,17,0.000486116347087221
125,1.0,110.88,0.31,4,11,0.003640214790532844
125,1.0,110.88,0.36,8,64,0.09137524333532251
125,1.0,110.88,0.4,8,64,0.0733011515361709
125,1.0,118.8,0.14,5,9,0.004469664992860936
125,1.0,118.8,0.19,5,11,0.005230230402769534
125,1.0,118.8,0.23,6,52,0.0002920835554089831
125,1.0,118.8,0.27,6,22,0.0009030329837064027
125,1.0,118.8,0.31,6,64,0.022432667953087574
125,1.0,118.8,0.36,8,64,0.10736308144077047
125,1.0,118.8,0.4,8,64,0.08187093025277253
125,1.0,120.0,0.14,5,9,0.004432821203407654
125,1.0,120.0,0.19,5,11,0.00453714493509169
125,1.0,120.0,0.23,6,64,0.002972504360989623
125,1.0,120.0,0.27,6,25,4.8427200167253075e-05
125,1.0,120.0,0.31,6,64,0.02138052026156066
125,1.0,120.0,0.36,8,64,0.10969910463877497
125,1.0,120.0,0.4,8,64,0.0834382577023771
125,1.0,125.60000000000001,0.14,5,22,0.0001410633865569952
125,1.0,125.60000000000001,0.19,5,11,0.001167661018124787
125,1.0,125.60000000000001,0.23,5,64,0.0019744326825402447
125,1.0,125.60000000000001,0.27,6,60,8.336721700699061e-05
125,1.0,125.60000000000001,0.31,6,64,0.01851415353330376
125,1.0,125.60000000000001,0.36,4,5,0.05744912661438938
125,1.0,125.60000000000001,0.4,8,64,0.09158801317228266
125,1.0,130.0,0.14,5,64,0.007013879561236346
125,1.0,130.0,0.19,5,14,0.0009947566039107474
125,1.0,130.0,0.23,5,46,0.00017570227243714957
125,1.0,130.0,0.27,6,64,0.008806445899377296
125,1.0,130.0,0.31,6,64,0.01831139765769594
125,1.0,130.0,0.36,4,5,0.016032871714945954
125,1.0,130.0,0.4,8,64,0.09886847662071072
125,1.0,138.16,0.14,4,64,0.012611795372227242
125,1.0,138.16,0.19,5,30,6.29659427293877e-05
125,1.0,138.16,0.23,5,34,0.00014333674404123345
125,1.0,138.16,0.27,6,64,0.02477076426345434
125,1.0,138.16,0.31,6,64,0.021658560813035514
125,1.0,138.16,0.36,4,11,0.0005191418988194245
125,1.0,138.16,0.4,4,5,0.09875674587981229
125,1.0,140.0,0.14,4,64,0.00859347459664736
125,1.0,140.0,0.19,5,44,0.00010521679808267821
125,1.0,140.0,0.23,5,36,0.0001382939861504558
125,1.0,140.0,0.27,6,64,0.028152712890203577
125,1.0,140.0,0.31,6,64,0.022965937261663287
125,1.0,140.0,0.36,4,18,0.0004582975078806527
125,1.0,140.0,0.4,4,5,0.0830037374420554
125,1.0,150.0,0.14,4,64,0.0006587165805022056
125,1.0,150.0,0.19,5,64,0.013788797460006167
125,1.0,150.0,0.23,5,64,0.0023194033748427786
125,1.0,150.0,0.27,5,64,0.018536834204953653
125,1.0,150.0,0.31,6,64,0.03296757490888051
125,1.0,150.0,0.36,4,64,0.03497506751481554
125,1.0,150.0,0.4,4,5,0.014944675740167055
125,1.0,150.72,0.14,4,64,0.0009436135131130319
125,1.0,150.72,0.19,5,64,0.014714729270168382
125,1.0,150.72,0.23,5,64,0.0029399387824116576
125,1.0,150.72,0.27,5,64,0.017869623065109988
125,1.0,150.72,0.31,6,64,0.03386039920908497
125,1.0,150.72,0.36,4,64,0.037542792403752294
125,1.0,150.72,0.4,4,5,0.011029752516233947
125,1.0,158.4,0.14,4,64,0.010927045484639068
125,1.0,158.4,0.19,4,64,0.022098556878469486
125,1.0,158.4,0.23,5,64,0.011135358939594438
125,1.0,158.4,0.27,5,64,0.013895375399968558
125,1.0,158.4,0.31,6,64,0.04471758857390394
125,1.0,158.4,0.36,6,64,0.053252831553575755
125,1.0,158.4,0.4,4,9,0.002148481661211843
125,2.0,88.47999999999999,0.14,12,49,0.0002134126644959315
125,2.0,88.47999999999999,0.19,10,64,0.002900651070012715
125,2.0,88.47999999999999,0.23,6,64,0.0208853851386603
125,2.0,88.47999999999999,0.27,8,64,0.03161964993593773
125,2.0,88.47999999999999,0.31,8,64,0.08655877087606952
125,2.0,88.47999999999999,0.36,6,7,0.020745294590682646
125,2.0,94.8,0.14,6,6,0.00444330057188778
125,2.0,94.8,0.19,6,11,0.003829226506956259
125,2.0,94.8,0.23,6,64,0.05563653660837008
125,2.0,94.8,0.27,8,64,0.05654355315322436
125,2.0,94.8,0.31,8,64,0.10609258649081703
125,2.0,94.8,0.36,6,12,0.0028716644035891715
125,2.0,95.04,0.14,5,8,0.004727196318002921
125,2.0,95.04,0.19,6,11,0.00535407687094554
125,2.0,95.04,0.23,6,64,0.05652651634591435
125,2.0,95.04,0.27,8,64,0.05722197353069228
125,2.0,95.04,0.31,8,64,0.10653282807556044
125,2.0,95.04,0.36,6,12,0.00019021973261477775
125,2.0,100.0,0.14,6,9,0.00020633910056617167
125,2.0,100.0,0.19,6,15,0.0012635817839217458
125,2.0,100.0,0.23,6,64,0.0691483118648558
125,2.0,100.0,0.27,8,64,0.06900252372739497
125,2.0,100.0,0.31,5,8,0.06877454698630998
125,2.0,100.0,0.36,6,44,0.000336782190269748
125,2.0,102.96000000000001,0.14,8,44,0.0011095871571218316
125,2.0,102.96000000000001,0.19,6,18,0.0010061499897112609
125,2.0,102.96000000000001,0.23,6,64,0.07204915667545021
125,2.0,102.96000000000001,0.27,8,64,0.07475333903714938
125,2.0,102.96000000000001,0.31,5,8,0.02841825042881379
125,2.0,102.96000000000001,0.36,6,64,0.02566448908419216
125,2.0,110.0,0.14,6,60,4.260518273493466e-05
125,2.0,110.0,0.19,6,32,9.20479866328312e-05
125,2.0,110.0,0.23,6,64,0.06903561634251223
125,2.0,110.0,0.27,8,64,0.08689581472361463
125,2.0,110.0,0.31,5,15,0.0015029484151941465
125,2.0,110.0,0.36,6,64,0.08515484894068344
125,2.0,110.88,0.14,5,20,0.0005641765188330961
125,2.0,110.88,0.19,6,36,0.0003010275330344014
125,2.0,110.88,0.23,4,9,0.05706511024437285
125,2.0,110.88,0.27,8,64,0.08834494773504499
125,2.0,110.88,0.31,5,18,0.0017854359237770736
125,2.0,110.88,0.36,6,64,0.09125655350115885
125,2.0,118.8,0.14,5,39,0.0003521561192391959
125,2.0,118.8,0.19,6,64,0.009957179597180415
125,2.0,118.8,0.23,4,18,0.0005725103180662763
125,2.0,118.8,0.27,8,64,0.10126030645076739
125,2.0,118.8,0.31,5,64,0.040184637053142264
125,2.0,118.8,0.36,6,64,0.13549624272086264
125,2.0,120.0,0.14,5,44,4.411804558309264e-06
125,2.0,120.0,0.19,6,64,0.012455658348871586
125,2.0,120.0,0.23,4,27,0.000481873498690627
125,2.0,120.0,0.27,8,64,0.10322361364758406
125,2.0,120.0,0.31,5,64,0.04825317661009292
125,2.0,120.0,0.36,6,64,0.14073121076963238
125,2.0,125.60000000000001,0.14,5,64,0.0048273688690349875
125,2.0,125.60000000000001,0.19,6,64,0.022966309448763794
125,2.0,125.60000000000001,0.23,4,64,0.033706619706154836
125,2.0,125.60000000000001,0.27,8,64,0.11248464184647967
125,2.0,125.60000000000001,0.31,5,64,0.0797857451148897
125,2.0,125.60000000000001,0.36,5,8,0.14162853218380228
125,2.0,130.0,0.14,5,64,0.010131549083725879
125,2.0,130.0,0.19,6,64,0.03012110195312676
125,2.0,130.0,0.23,6,64,0.049712253683282116
125,2.0,130.0,0.27,4,9,0.09061265578519087
125,2.0,130.0,0.31,5,64,0.09844287266873196
125,2.0,130.0,0.36,5,8,0.10142068676282719
125,2.0,138.16,0.14,5,64,0.016216646618285622
125,2.0,138.16,0.19,6,64,0.041447186057193004
125,2.0,138.16,0.23,6,64,0.04658424625207425
125,2.0,138.16,0.27,4,9,0.0235817191697417
125,2.0,138.16,0.31,5,64,0.12160808710234386
125,2.0,138.16,0.36,5,8,0.041084352770806
125,2.0,140.0,0.14,5,64,0.017116404311728072
125,2.0,140.0,0.19,6,64,0.04373036403677333
125,2.0,140.0,0.23,6,64,0.046346281050939915
125,2.0,140.0,0.27,4,9,0.011505745007990228
125,2.0,140.0,0.31,5,64,0.12509007699216626
125,2.0,140.0,0.36,5,8,0.029641693509135588
125,2.0,150.0,0.14,5,64,0.020556185043144555
125,2.0,150.0,0.19,5,64,0.03240150167368887
125,2.0,150.0,0.23,6,64,0.04803602073924294
125,2.0,150.0,0.27,4,64,0.008505532251906204
125,2.0,150.0,0.31,4,11,0.11142224901325232
125,2.0,150.0,0.36,5,18,0.0002114886744447937
125,2.0,150.72,0.14,5,64,0.02076381350071128
125,2.0,150.72,0.19,5,64,0.03154941999500762
125,2.0,150.72,0.23,6,64,0.0483520276783012
125,2.0,150.72,0.27,4,64,0.011631273295913838
125,2.0,150.72,0.31,4,11,0.10643959027968598
125,2.0,150.72,0.36,5,22,0.0005363876559653518
125,2.0,158.4,0.14,5,64,0.022975871190662137
125,2.0,158.4,0.19,5,64,0.024960711389025985
125,2.0,158.4,0.23,6,64,0.05336610385961163
125,2.0,158.4,0.27,4,64,0.03879249164608824
125,2.0,158.4,0.31,4,11,0.059850366767159005
125,2.0,158.4,0.36,5,64,0.02377121823209006
125,3.0,88.47999999999999,0.14,8,15,0.00467889246706736
125,3.0,88.47999999999999,0.19,6,36,0.0013575612586370369
125,3.0,88.47999999999999,0.23,5,25,0.001886414777564703
125,3.0,88.47999999999999,0.27,8,64,0.11209840495599473
125,3.0,88.47999999999999,0.31,10,64,0.16927341994948858
125,3.0,88.47999999999999,0.36,8,64,0.004507027197424293
125,3.0,94.8,0.14,6,9,0.0008363393094490643
125,3.0,94.8,0.19,6,64,0.03944262735020931
125,3.0,94.8,0.23,5,64,0.05893365232427399
125,3.0,94.8,0.27,8,64,0.1400931655607268
125,3.0,94.8,0.31,6,11,0.18677877991961125
125,3.0,94.8,0.36,8,64,0.0770575957259529
125,3.0,95.04,0.14,5,22,0.0006660011567363276
125,3.0,95.04,0.19,6,64,0.041022818295091766
125,3.0,95.04,0.23,5,64,0.06185773589691396
125,3.0,95.04,0.27,8,64,0.1408344091081059
125,3.0,95.04,0.31,6,11,0.1827408647807662
125,3.0,95.04,0.36,8,64,0.07944717706768692
125,3.0,100.0,0.14,6,14,6.170874277784165e-05
125,3.0,100.0,0.19,6,64,0.06572089507699484
125,3.0,100.0,0.23,8,64,0.08519401560200385
125,3.0,100.0,0.27,8,64,0.15178127114986392
125,3.0,100.0,0.31,6,11,0.10798298108120162
125,3.0,100.0,0.36,8,64,0.12382176766368938
125,3.0,102.96000000000001,0.14,6,20,0.0021345463316588204
125,3.0,102.96000000000001,0.19,6,64,0.07419920453012238
125,3.0,102.96000000000001,0.23,8,64,0.09065210870374492
125,3.0,102.96000000000001,0.27,8,64,0.1550011851940874
125,3.0,102.96000000000001,0.31,6,11,0.07030336804574891
125,3.0,102.96000000000001,0.36,8,64,0.14625735644991364
125,3.0,110.0,0.14,6,64,0.0040704812666831035
125,3.0,110.0,0.19,4,14,0.07869283031261357
125,3.0,110.0,0.23,8,64,0.10065040886073322
125,3.0,110.0,0.27,5,12,0.11487778451103228
125,3.0,110.0,0.31,6,12,0.0023311288348252523
125,3.0,110.0,0.36,8,64,0.18973899281247741
125,3.0,110.88,0.14,6,64,0.008168755883108041
125,3.0,110.88,0.19,4,14,0.06594873773723962
125,3.0,110.88,0.23,8,64,0.1017399066450974
125,3.0,110.88,0.27,5,12,0.10424243898483054
125,3.0,110.88,0.31,6,14,0.002284167957942967
125,3.0,110.88,0.36,8,64,0.19432788332191797
125,3.0,118.8,0.14,6,64,0.035353021216927245
125,3.0,118.8,0.19,4,27,0.0010564054524531278
125,3.0,118.8,0.23,8,64,0.11105021703993889
125,3.0,118.8,0.27,5,12,0.024431730546287413
125,3.0,118.8,0.31,6,64,0.027771253557090838
125,3.0,118.8,0.36,8,64,0.22867335024517246
125,3.0,120.0,0.14,6,64,0.03828269333127809
125,3.0,120.0,0.19,4,55,0.00020641938847073527
125,3.0,120.0,0.23,8,64,0.1124484942229711
125,3.0,120.0,0.27,5,12,0.014506269204657144
125,3.0,120.0,0.31,6,64,0.036054945601750536
125,3.0,120.0,0.36,8,64,0.23290597237866187
125,3.0,125.60000000000001,0.14,6,64,0.048955579492036785
125,3.0,125.60000000000001,0.19,4,64,0.04196117437851125
125,3.0,125.60000000000001,0.23,8,64,0.1191532142346731
125,3.0,125.60000000000001,0.27,5,30,0.0001515770916365554
125,3.0,125.60000000000001,0.31,6,64,0.06990598062752071
125,3.0,125.60000000000001,0.36,6,11,0.19652182734446702
125,3.0,130.0,0.14,5,64,0.05228674477149168
125,3.0,130.0,0.19,6,64,0.06691716117355527
125,3.0,130.0,0.23,4,14,0.11767059546036213
125,3.0,130.0,0.27,5,64,0.018873055052597395
125,3.0,130.0,0.31,6,64,0.09163125905376145
125,3.0,130.0,0.36,6,11,0.1564433434078558
125,3.0,138.16,0.14,5,64,0.04079885056830258
125,3.0,138.16,0.19,6,64,0.06163149543040521
125,3.0,138.16,0.23,4,14,0.050226190078591144
125,3.0,138.16,0.27,5,64,0.05862121293125319
125,3.0,138.16,0.31,5,12,0.10669502784336689
125,3.0,138.16,0.36,6,11,0.09318877131203995
125,3.0,140.0,0.14,5,64,0.03840721838107945
125,3.0,140.0,0.19,6,64,0.060756562901039216
125,3.0,140.0,0.23,4,14,0.03781057888396916
125,3.0,140.0,0.27,5,64,0.06572054983922125
125,3.0,140.0,0.31,5,12,0.09373511409835458
125,3.0,140.0,0.36,6,11,0.08063415114677942
125,3.0,150.0,0.14,5,64,0.02778308995972017
125,3.0,150.0,0.19,6,64,0.0584864132301459
125,3.0,150.0,0.23,4,39,0.00030564432675154486
125,3.0,150.0,0.27,5,64,0.09458114649619899
125,3.0,150.0,0.31,5,12,0.03419335058912142
125,3.0,150.0,0.36,6,11,0.021434006061459048
125,3.0,150.72,0.14,5,64,0.027207578696554966
125,3.0,150.72,0.19,6,64,0.05849849188961831
125,3.0,150.72,0.23,4,57,0.00014803344503775607
125,3.0,150.72,0.27,5,64,0.09609931308618568
125,3.0,150.72,0.31,5,12,0.030532638932852754
125,3.0,150.72,0.36,6,11,0.017694541207063205
125,3.0,158.4,0.14,5,64,0.023014131152980795
125,3.0,158.4,0.19,6,64,0.06023337849288898
125,3.0,158.4,0.23,4,64,0.028352040569894984
125,3.0,158.4,0.27,4,15,0.10004347778808703
125,3.0,158.4,0.31,5,15,0.00037878661866889047
125,3.0,158.4,0.36,6,64,0.0034421683357567525
125,5.0,88.47999999999999,0.14,6,18,0.0020376967600161406
125,5.0,88.47999999999999,0.19,8,64,0.07505499059951104
125,5.0,88.47999999999999,0.23,6,17,0.11835583138361819
125,5.0,88.47999999999999,0.27,8,64,0.13735999935802803
125,5.0,88.47999999999999,0.31,10,64,0.1985475128653947
125,5.0,88.47999999999999,0.36,12,64,0.06566242550159593
125,5.0,94.8,0.14,6,64,0.013420341841224077
125,5.0,94.8,0.19,5,20,0.07069245749755179
125,5.0,94.8,0.23,6,17,0.02734537792452652
125,5.0,94.8,0.27,8,64,0.1891262951578392
125,5.0,94.8,0.31,8,14,0.19940059731074627
125,5.0,94.8,0.36,12,64,0.12980319823898948
125,5.0,95.04,0.14,6,64,0.015605453564207719
125,5.0,95.04,0.19,5,20,0.06706803895411542
125,5.0,95.04,0.23,6,17,0.024387863880300287
125,5.0,95.04,0.27,8,64,0.19080693816503105
125,5.0,95.04,0.31,8,14,0.19606155148034882
125,5.0,95.04,0.36,12,64,0.1320159500417569
125,5.0,100.0,0.14,6,64,0.05087894841648002
125,5.0,100.0,0.19,5,20,0.001448414949358967
125,5.0,100.0,0.23,6,44,0.00045239268985288025
125,5.0,100.0,0.27,8,64,0.22160792337112245
125,5.0,100.0,0.31,8,14,0.13249459095178068
125,5.0,100.0,0.36,10,11,0.12610694256252364
125,5.0,102.96000000000001,0.14,4,22,0.05318677783464712
125,5.0,102.96000000000001,0.19,5,60,6.310504843089143e-05
125,5.0,102.96000000000001,0.23,6,64,0.022831346503003194
125,5.0,102.96000000000001,0.27,8,64,0.23679991333426345
125,5.0,102.96000000000001,0.31,8,14,0.09897969040525481
125,5.0,102.96000000000001,0.36,10,11,0.09439746363991193
125,5.0,110.0,0.14,4,64,0.008274940969887831
125,5.0,110.0,0.19,5,64,0.061610014256094844
125,5.0,110.0,0.23,6,64,0.07860492448206552
125,5.0,110.0,0.27,6,17,0.22145974902108914
125,5.0,110.0,0.31,8,14,0.030163698427028995
125,5.0,110.0,0.36,10,11,0.02770180630804878
125,5.0,110.88,0.14,4,64,0.017413907511738668
125,5.0,110.88,0.19,5,64,0.06793060270999779
125,5.0,110.88,0.23,6,64,0.08441788938994503
125,5.0,110.88,0.27,6,17,0.21120877779816333
125,5.0,110.88,0.31,8,14,0.02250032609632742
125,5.0,110.88,0.36,10,11,0.020121725318640208
125,5.0,118.8,0.14,4,64,0.08045500506545687
125,5.0,118.8,0.19,5,64,0.11283928366911539
125,5.0,118.8,0.23,6,64,0.12734466536041725
125,5.0,118.8,0.27,6,17,0.13025236710311303
125,5.0,118.8,0.31,8,64,0.022667660549891874
125,5.0,118.8,0.36,10,64,0.03979201260722826
125,5.0,120.0,0.14,6,64,0.0804115993618239
125,5.0,120.0,0.19,5,64,0.11800223370980972
125,5.0,120.0,0.23,5,20,0.130114794196393
125,5.0,120.0,0.27,6,17,0.11955556384573124
125,5.0,120.0,0.31,8,64,0.03127877519782707
125,5.0,120.0,0.36,10,52,0.048586190686577525
125,5.0,125.60000000000001,0.14,6,64,0.07692439073057024
125,5.0,125.60000000000001,0.19,5,64,0.13737663389280638
125,5.0,125.60000000000001,0.23,5,20,0.08253734798673013
125,5.0,125.60000000000001,0.27,6,17,0.07421961485845792
125,5.0,125.60000000000001,0.31,8,64,0.06817872817240243
125,5.0,125.60000000000001,0.36,10,20,0.08668182926833493
125,5.0,130.0,0.14,6,64,0.07345657128791165
125,5.0,130.0,0.19,4,24,0.12351136383456632
125,5.0,130.0,0.23,5,20,0.050859625099886493
125,5.0,130.0,0.27,6,17,0.04327213614262483
125,5.0,130.0,0.31,8,64,0.0937976515357548
125,5.0,130.0,0.36,10,14,0.11350265103071243
125,5.0,138.16,0.14,6,64,0.06691145471718121
125,5.0,138.16,0.19,4,24,0.0634283148379862
125,5.0,138.16,0.23,5,20,0.00292710163889747
125,5.0,138.16,0.27,6,24,0.00031901991078545923
125,5.0,138.16,0.31,8,64,0.1347653259493128
125,5.0,138.16,0.36,8,64,0.09866450995346172
125,5.0,140.0,0.14,6,64,0.06557232526612279
125,5.0,140.0,0.19,4,24,0.05210149139596426
125,5.0,140.0,0.23,5,30,0.0003429389216265314
125,5.0,140.0,0.27,6,64,0.001457594977784527
125,5.0,140.0,0.31,8,64,0.14298206527913387
125,5.0,140.0,0.36,8,64,0.08682370742517219
125,5.0,150.0,0.14,6,64,0.06015813932768494
125,5.0,150.0,0.19,4,24,0.0019820416436529234
125,5.0,150.0,0.23,5,64,0.03536313719626283
125,5.0,150.0,0.27,6,64,0.047762661566591674
125,5.0,150.0,0.31,6,17,0.1249308531311016
125,5.0,150.0,0.36,8,64,0.02831129711773899
125,5.0,150.72,0.14,6,64,0.05992069542063679
125,5.0,150.72,0.19,4,25,0.00034023489409509334
125,5.0,150.72,0.23,5,64,0.03791881605919432
125,5.0,150.72,0.27,6,64,0.050660204770489645
125,5.0,150.72,0.31,6,17,0.12080561337357076
125,5.0,150.72,0.36,8,64,0.02443965231213308
125,5.0,158.4,0.14,6,64,0.05896592331230445
125,5.0,158.4,0.19,4,64,0.01893553705475618
125,5.0,158.4,0.23,5,64,0.061557105165435985
125,5.0,158.4,0.27,6,64,0.07846631490778079
125,5.0,158.4,0.31,6,17,0.08002685278798684
125,5.0,158.4,0.36,8,14,0.010325801776973242
157,0.1,110.0,0.1,128,4,2.440535679070538e+28
157,0.1,110.0,0.14,128,4,331726757643792.9
157,0.1,110.0,0.19,128,4,21919430.41249252
157,0.1,110.0,0.23,4,7,3478.0319044916528
157,0.1,110.0,0.27,128,4,166.18954676529955
157,0.1,110.0,0.31,5,5,2.1527906328627884
157,0.1,110.0,0.36,5,30,0.012490410476892323
157,0.1,110.0,0.4,14,41,0.0016900148064489101
157,0.1,110.88,0.1,128,4,1.3548139184980887e+27
157,0.1,110.88,0.14,128,4,70317302486964.03
157,0.1,110.88,0.19,128,4,8660548.0488444
157,0.1,110.88,0.23,4,18,7.13014473824889
157,0.1,110.88,0.27,128,4,92.44627221805501
157,0.1,110.88,0.31,128,4,3.671183935066398
157,0.1,110.88,0.36,5,8,0.012164047538386897
157,0.1,110.88,0.4,14,18,0.0018795132984848427
157,0.1,118.8,0.1,128,4,2.1573335440273654e+17
157,0.1,118.8,0.14,128,4,317627383.3842212
157,0.1,118.8,0.19,4,15,287.0882476924135
157,0.1,118.8,0.23,128,4,23.917808387350146
157,0.1,118.8,0.27,5,4,1.1093024648092173
157,0.1,118.8,0.31,12,20,0.004283048416135693
157,0.1,118.8,0.36,19,34,0.0003066457285864078
157,0.1,118.8,0.4,16,57,0.0007432566506142999
157,0.1,120.0,0.1,128,4,1.1595341506671696e+16
157,0.1,120.0,0.14,128,4,61934866.08581388
157,0.1,120.0,0.19,128,4,1472.579696833858
157,0.1,120.0,0.23,128,4,10.455214060706687
157,0.1,120.0,0.27,5,4,0.7952260177514846
157,0.1,120.0,0.31,16,27,0.003061623951860502
157,0.1,120.0,0.36,19,39,0.001124689778061419
157,0.1,120.0,0.4,14,20,0.000983346032135603
157,0.1,125.60000000000001,0.1,128,4,61037239695.89681
157,0.1,125.60000000000001,0.14,128,4,57191.593671170434
157,0.1,125.60000000000001,0.19,128,4,13.307373212302403
157,0.1,125.60000000000001,0.23,128,4,1.0572573280557787
157,0.1,125.60000000000001,0.27,19,49,0.0013451510258540573
157,0.1,125.60000000000001,0.31,19,46,0.00012010767847673108
157,0.1,125.60000000000001,0.36,14,22,0.0007241746468977819
157,0.1,125.60000000000001,0.4,6,4,0.00018705079801127413
157,0.1,130.0,0.1,128,4,19843869.631471954
157,0.1,130.0,0.14,128,4,422.86151135837093
157,0.1,130.0,0.19,128,4,1.1859947923415988
157,0.1,130.0,0.23,14,12,0.005952811611555174
157,0.1,130.0,0.27,16,20,0.0021012128305111987
157,0.1,130.0,0.31,16,44,0.0005608044819850491
157,0.1,130.0,0.36,14,64,0.00046117301353182225
157,0.1,130.0,0.4,6,44,0.00024824957405657054
157,0.1,138.16,0.1,128,4,102.69645230229891
157,0.1,138.16,0.14,8,14,0.009096443585707794
157,0.1,138.16,0.19,14,24,0.0004801474700407967
157,0.1,138.16,0.23,16,64,0.0007266673755488999
157,0.1,138.16,0.27,12,46,0.0011434512029991793
157,0.1,138.16,0.31,10,64,0.00440821774339518
157,0.1,138.16,0.36,10,64,0.008508939115950073
157,0.1,138.16,0.4,10,64,0.0174548609996501
157,0.1,140.0,0.1,128,4,9.761636909644535
157,0.1,140.0,0.14,19,30,0.0005666261503504398
157,0.1,140.0,0.19,14,41,4.128101203028774e-05
157,0.1,140.0,0.23,8,27,0.0005991939211336968
157,0.1,140.0,0.27,6,60,0.0002981154646047046
157,0.1,140.0,0.31,5,4,0.020420870635530518
157,0.1,140.0,0.36,5,4,0.0014012928389196576
157,0.1,140.0,0.4,5,4,0.013079972036939449
157,0.1,150.0,0.1,12,44,0.0005671360067535508
157,0.1,150.0,0.14,8,60,1.644983151979661e-05
157,0.1,150.0,0.19,4,11,0.00022394967589792664
157,0.1,150.0,0.23,5,12,0.00045306583594031816
157,0.1,150.0,0.27,4,64,0.0032953708983687498
157,0.1,150.0,0.31,5,6,0.005188139223431521
157,0.1,150.0,0.36,5,5,0.0022936305204204572
157,0.1,150.0,0.4,5,4,0.012074611141186986
157,0.1,150.72,0.1,10,30,0.0002970889476694017
157,0.1,150.72,0.14,5,36,0.00011903835679432754
157,0.1,150.72,0.19,5,34,0.0005716270376971009
157,0.1,150.72,0.23,4,11,0.0008308503468839471
157,0.1,150.72,0.27,4,27,0.0002115269647999284
157,0.1,150.72,0.31,5,7,0.0032020886614232535
157,0.1,150.72,0.36,5,5,0.002947149728851392
157,0.1,150.72,0.4,5,4,0.014734406482549256
157,0.1,158.4,0.1,6,46,0.00022769592428660538
157,0.1,158.4,0.14,6,64,0.004864940037929674
157,0.1,158.4,0.19,6,64,0.02591286048612209
157,0.1,158.4,0.23,4,4,0.02741233187283373
157,0.1,158.4,0.27,4,4,0.002723729069758829
157,0.1,158.4,0.31,4,6,0.00103930555651659
157,0.1,158.4,0.36,4,25,0.00030795816784590373
157,0.1,158.4,0.4,5,7,0.000152632282482257
157,0.1,163.28,0.1,6,41,6.630720958238224e-05
157,0.1,163.28,0.14,6,41,0.00010196329752954252
157,0.1,163.28,0.19,6,64,0.002243522980557416
157,0.1,163.28,0.23,6,64,0.013795737536726617
157,0.1,163.28,0.27,4,4,0.0184540180695411
157,0.1,163.28,0.31,4,4,0.0015303690355927804
157,0.1,163.28,0.36,4,8,0.0016933164822561541
157,0.1,163.28,0.4,5,14,0.0005069383826216353
157,0.1,174.24,0.1,64,44,9.340957258759133e-06
157,0.1,174.24,0.14,5,4,0.01578221523901966
157,0.1,174.24,0.19,4,64,0.004277173811598472
157,0.1,174.24,0.23,4,5,3.4399518546902405e-05
157,0.1,174.24,0.27,4,4,0.005628948130607604
157,0.1,174.24,0.31,4,4,0.008922112878561317
157,0.1,174.24,0.36,4,4,0.002972648953075235
157,0.1,174.24,0.4,4,6,0.0017109320548213168
157,0.1,175.84,0.1,34,5,0.00016264490243628055
157,0.1,175.84,0.14,5,4,0.018637001113533534
157,0.1,175.84,0.19,5,64,0.005447938847981454
157,0.1,175.84,0.23,4,7,7.507700613514458e-06
157,0.1,175.84,0.27,4,4,0.002961477589443393
157,0.1,175.84,0.31,4,4,0.0077756620986844435
157,0.1,175.84,0.36,4,4,0.004317520312329771
157,0.1,175.84,0.4,4,5,3.1065062316854424e-05
157,0.1,188.4,0.1,5,8,5.110172287286905e-05
157,0.1,188.4,0.14,96,5,0.007556901981697019
157,0.1,188.4,0.19,74,22,3.266769018940199e-05
157,0.1,188.4,0.23,5,4,0.011022197135994154
157,0.1,188.4,0.27,4,64,0.006041361180750548
157,0.1,188.4,0.31,4,7,7.386743553269108e-05
157,0.1,188.4,0.36,4,4,0.003304793875002888
157,0.1,188.4,0.4,4,4,0.005104011274836699
157,0.1,190.08,0.1,6,5,0.004597572147668849
157,0.1,190.08,0.14,108,5,0.011639568977222707
157,0.1,190.08,0.19,19,7,0.00011886552394124768
157,0.1,190.08,0.23,5,4,0.01193817493082276
157,0.1,190.08,0.27,4,64,0.008090780106788618
157,0.1,190.08,0.31,4,12,0.00011831511669708077
157,0.1,190.08,0.36,4,4,0.0023037084396426966
157,0.1,190.08,0.4,4,4,0.0050772343520762335
157,0.1,199.20000000000002,0.1,79,7,0.024696291533368216
157,0.1,199.20000000000002,0.14,5,4,3.098275587741443e-05
157,0.1,199.20000000000002,0.19,12,4,0.005466128739948613
157,0.1,199.20000000000002,0.23,12,12,3.376242318559657e-05
157,0.1,199.20000000000002,0.27,5,4,0.01147709543548073
157,0.1,199.20000000000002,0.31,4,64,0.00793062002819926
157,0.1,199.20000000000002,0.36,4,9,2.048063113567032e-05
157,0.1,199.20000000000002,0.4,4,4,0.002080706715985028
